Player,mlsYears,youthYears,youthTeam,ntlCaps
Khiry Shelton,1,2011-2014, Oregon State Beavers (College),6
Eriq Zavaleta,3,2011-2012, Indiana Hoosiers (College),23
Tony Walls,1,2008-2011, Green Bay Phoenix (College),0
Jamil Roberts,2,2004-2007, Santa Clara Broncos (College),4
Robert Scarlett,1,1991-1997, Harbourview (Not a college),38
Peter Nowak,5
Taylor Kemp,3,2009-2012, Maryland Terrapins (College),2
Bernardo Añor,5,2007-2010, South Florida Bulls (College),0
Gregg Berhalter,3,1991-1994, North Carolina Tar Heels (College),48
Yohance Marshall,2,2005-2008, South Florida Bulls (College),11
Bryan Byrne,1,2003-2006, UC Santa Barbara Gauchos (College),0
Zack Schilawski,2,2006-2009, Wake Forest Demon Deacons (College),0
Jose Vasquez,4
Daniel Torres,5
Geovanni Deiberson,1
Danny Earls,2,2005-2008, Aston Villa (Not a college),0
Stephane Auvray,2,1994-2002, Caen (Not a college),26
Teal Bunbury,6,2008-2009, Akron Zips (College),10
David Villa,1,1999-2000, Sporting Gijón (Not a college),106
Eric Vasquez,2,2001-03, UCF (College),0
Jaime Moreno,15,, Tahuichi Academy (No Wikipedia link),75
Martin Klinger,2
John Stertzer,3,2009-2012, Maryland Terrapins (College),0
Daniel Lovitz,2,2010-2013, Elon Phoenix (College),0
Irving Garcia,1,2008-2009, UC Irvine Anteaters (College),0
Philippe Davies,1,2006-2007, Select South Shore AAA (No Wikipedia link),26
Douglas Lascody,1
Denilson de Oliveira,1,, São Paulo (Not a college),61
Alec Sundly,1,2010-2013, California Golden Bears (College),0
Cuauhtemoc Blanco,3
Mario Guerrero,5
Bill Harte,1,1991-1993, Loyola Greyhounds (College),0
William Romero,1
Brad North,1,2003-06, Northwestern (College),0
Thor Lee,1,1984-1987, CSU Northridge (College),0
Corey Ashe,9,2003-2006, North Carolina Tar Heels (College),7
Ricardo Pierre-Louis,1,2005-2007, Lee Flames (College),0
Ezequiel Cirigliano,1,, River Plate (Not a college),15
Joseph DiGiamarino,5
Jerry Tamashiro,1
Jeff Stewart,3
Adam Nemec,1,, Žiar nad Hronom (Not a college),19
Michael Burke,1
Jeferson Rodrigues,1
Jim Curtin,9,1997-2000, Villanova Wildcats (College),0
Ricardo Kaká,1,1994-2000, São Paulo (Not a college),96
Nate Jaqua,9,2000-2002, Portland Pilots (College),3
Josh Gardner,7
Douglas Sequeira,2,, Saprissa,42
Dan Gargan,10,2001-2004, Georgetown Hoyas (College),0
Gilberto Souza,2
Ian Fuller,1,1998-2001, Clemson Tigers (College),0
Eric Ebert,2,2003-2006, University of California,0
Sergio Herrera,1
Dejair Ferreira,1
Scot Thompson,2,1999-2002, UCLA Bruins (College),3
Stephen Lumley,1
Paulo Araujo,4
Ilson Carreiro,2
Amadou Sanyang,4,2009, TFC Academy (Not a college),0
Derek Gaudet,1,2001-2003, Halifax County United (No Wikipedia link),11
Jose Rodriguez,1
Chris Cortez,1,2007-2010, Chivas USA (Not a college),0
Jose Correa,3
Sean Bowers,4,1989-1990, Quincy University (College),0
Bryan Leyva,3,2000-2010, FC Dallas (Not a college),5
Jalen Robinson,2,2012-2013, Wake Forest Demon Deacons (College),5
Johanes Maliza,1,1999-2002, Stanford Cardinal (Not a college),0
Zak Boggs,3,2007-2009, South Florida Bulls (College),0
Joseph Addo,5,1991-1992, George Mason University (College),0
Coy Craft,2,2011-2014, FC Dallas (Not a college),7
Braeden Cloutier,5,1992-1993, Hamburg SV (Not a college),0
Carlos Alvarez,3
Ruben Bover,3
Oscar Draguicevich,3,, University of North Texas (College),0
Patrice Bernier,4,1998-1999, Syracuse Orange (College),78
Rafael Amaya,2
Ousmane Dabo,1,1990-1995, Rennes (Not a college),3
Edwin Gorter,2,, RVC,0
Caleb Konstanski,1
Jonathan Osorio,3,2012, TFC Academy (Not a college),16
Kris Kelderman,4,1987-1990, University of Virginia (College),0
Welton Melo,5
Jose Kleberson,1
Mauricio Wright,3,, Saprissa (Not a college),67
David Ben Dayan,2,1995-1997, Maccabi Tel Aviv (Not a college),46
Boniek Garcia,4,2003, Real Patepluma (No Wikipedia link),102
Roy Wegerle,3,1982-1983, South Florida Bulls (College),41
Willian Oliveira,1
Adam Sloustcher,1
Nidal Baba,1,1992-1995, Clemson University (College),3
Mark Baena,1,1989-1990, Cal State-Sacramento (College),0
Rick Titus,2
Jose Villarreal,4
Erik Palmer-Brown,3,2009-2013, Sporting Kansas City (Not a college),17
John Jairo Trellez,1
Edgar Mejia,1
Tyson Wahl,10,2002-2005, California Golden Bears (College),3
Mika Vayrynen,1
Shaker Asad,3,1997-1999, NC State (College),4
Darel Russell,1,, Norwich City (Not a college),0
Giovanni Sequeira,1
Kevin Coye,1,1994-1997, UCLA Bruins (College),0
Brian Gil,1
Adam Mena,1,2008-2012, Notre Dame Fighting Irish (College),0
Jose Abundis,1
Luchi Gonzalez,3,1998-01, SMU (College),0
Chris Thomas,1
Tyrone Mears,1
Jimmy Conrad,13,1996-1997, UCLA Bruins (College),27
Jared Montz,2,2001-2004, Lynn Fighting Knights (College),0
Sergio Campbell,1,2012-2014, Connecticut Huskies (College),2
Rafael  Garcia ,4
Chris Agorsor,1,2008-2009, Virginia Cavaliers (College),3
Ian Butterworth,1
Kemar Lawrence,1,2007-2011, Harbour View (Not a college),29
Wellington Sanchez,1
Jason Johnson,3
Luke Spencer,1
Alexandre Morfaw,1,2000-2005, Nantes (Not a college),0
Ali Gerba,2,1994-1997, Bourassa (No Wikipedia link),37
Walker Zimmerman,3,2011-2012, Furman Paladins (College),14
Miguel Ferrer,1
Kevin Souter,2,2007, Graceland Yellowjackets (College),3
Alvas Powell,3
Raphael Santos,2
Chris Taylor,2
Sam Brill,1,2003-2006, Boston College Eagles (College),0
Marvell Wynne,10
Daneil Cyrus,2,2008-2009, Stokely Vale (No Wikipedia link),39
Vitalis Takawira,4
Steven Kinney,5,2006-2009, Elon Phoenix (College),0
Carey Talley,13,1994-1997, North Carolina Tar Heels (College),4
Dane Murphy,1,2004-2007, Virginia Cavaliers (College),0
Scott Cannon,3,1986-1990, University of Evansville (College),0
Adrian Rodriguez,3
Ramiro Corrales,15
Will Bruin,5,2008-2010, Indiana Hoosiers (College),2
Sebastian Saucedo,1,2011-2014, Real Salt Lake AZ (Not a college),11
Claudio Reyna,2,1991-1993, Virginia Cavaliers (College),112
Emiliano Bonfigli,1,2007-2009, Rácing Club (Not a college),0
Conor Chinn,1,2006-2009, San Francisco Dons (College),0
Eduardo da Silva,1,1999-2001, Dinamo Zagreb (Not a college),76
Knox Cameron,2,2001-2004, Michigan Wolverines (College),12
Carlos Hermosillo,2
Darwin Cerén,1
Akira Kaji,1,1995-1997, Takigawa Daini H.S. (No Wikipedia link),72
Diego Walsh,3,1999-2002, SMU Mustangs (College),0
Aubrey Perry,1,2008-2011, South Florida Bulls (College),21
Kyle Venter,1,2009-2013, New Mexico Lobos (College),0
Shaun Francis,6,2006-2009, Lindsey Wilson College (College),5
Frankie Hejduk,12,1992-1994, UCLA Bruins (College),94
Uriah Bentick,1,2009-2012, Liberty Flames (College),3
Edmundo Rodriguez,2,1991-1992, University of New Mexico (College),0
Carlos Llamosa,9
Kenneth Hoerner,1
Stephen Wondolowski,1,2004-2006, UC Santa Cruz (College),0
Lucio Filomeno,2,1988-1994, Nueva Chicago (No Wikipedia link),0
Stephen Danbusky,1,1995-1998, Williams Ephs (College),0
Hassoun Camara,4
Ronald Zubar,1,0000-2002, 0000 (No Wikipedia link),17
Connor Lade,4,2008-2011, St. John's Red Storm (College),0
Diego Saric,1
Jámison Olave,8
Matt Walker,1
Giancarlo Gonzalez,1,2004-2006, Alajuelense (Not a college),52
Nick Zimmerman,2,2005-2008, James Madison Dukes (College),0
Brandon Ward,1,1991-1994, Indiana University (College),0
Nick Van Sicklen,1
Uchenna Okafor,5
Paul Caligiuri,6,1982-1985, UCLA Bruins (College),110
Orlando Ramirez,1
Logan Emory,2,2006-2009, Portland Pilots (College),0
John Lozano,1
Carl Robinson,5,, Wolverhampton Wanderers (Not a college),60
Jeff Bilyk,3,1995-1998, Clemson (College),0
David Moxom,1,1991-1994, Robert Morris University (College),0
Dario Delgado,1
Juan Suarez,1
Bratislav Ristic,2,1990-1998, Radnički Niš (Not a college),0
Juan Ramirez,1
Jacob LeBlanc,1,, Virginia Cavaliers (College),0
Eddie Robinson,11
Joshua Patterson,1
Diego Chaves,1
Bobby Warshaw,3,2007-2010, Stanford Cardinal (Not a college),15
Laurent Merlin,1,1994-2002, Marseille (Not a college),0
Warren Creavalle,4,2010-2011, UCF Knights (College),3
Sebastian Botero,1
Daniel Hernandez,13
Lewis Neal,4,1998-2000, Stoke City (Not a college),0
Alijohn Utush,1
Troy Edwards,1
Matthew Britner,1
Federico Higuain,4,, River Plate (Not a college),0
Dilly Duka,6,2007-2008, Rutgers Scarlet Knights (College),14
Alberto Rizo,1
John Pulido,1,2000-2003, FIU Golden Panthers (College),0
Tab Ramos,7,1984-1987, NC State Wolfpack (College),81
Cristian da Silva,3,1990-1994, Southern Connecticut State University (College),0
Drew Beckie,1,2009-2012, Denver Pioneers (College),2
Cyprian Hedrick,1,2009-2011, Coastal Carolina Chanticleers (College),0
Markus Schopp,2
Andre Moreira,3
Jack Jewsbury,13,1999-2002, St. Louis Billikens (College),0
Artur Aghasyan,1,2003-2004, Banants (Not a college),0
Nick Downing,3,1998-2001, Maryland Terrapins (College),51
Johnny Alcaraz,1
Dahir Mohammed,2,1991-1994, C.W. Post College (College),0
Ruben Luna,3,2009-2010, FC Dallas (Not a college),0
Craig Waibel,11,1995-1998, Washington Huskies (College),0
Rob Valentino,3,2004-2007, San Francisco Dons (College),1
Ben Speas,4,2011, North Carolina Tar Heels (College),10
Arturo Alvarez,9
Brian Ownby,3,2008-2011, Virginia Cavaliers (College),10
Omar Gonzalez,7,2006-2008, Maryland Terrapins (College),35
Anthony Soares,4
Theodore Schneider,1
Facundo Coria,1,2004-2007, Vélez Sársfield (Not a college),0
Fanendo Adi,2,, Union Bank,2
Andrew Parrish,1,1995-1998, Indiana Hoosiers (College),0
Carlos Puppo,2
Emmanuel Ekpo,4,2005-2006, Calabar Rovers (Not a college),7
Grant Ward,1,2011-2014, Tottenham Hotspur (Not a college),0
Eric Schoenle,1
Jamel Mitchell,1,1993-1996, Sacramento State University (College),0
Michael Fucito,6,2004-2008, Harvard Crimson (College),0
Refik Sabanadzovic,2,, Mladost (Not a college),8
Thabiso Khumalo,3,2003-2004, Coastal Carolina Chanticleers (College),0
Duke Hashimoto,2,† Appearances (goals), ,0
Martin Steuble,1,2007-2008, Neuchâtel Xamax (Not a college),23
Michael Bradley,4
Roy Miller,6
Gabriel Farfan,4,2008-2010, Club América (Not a college),9
Matthew Fondy,2,2007-2010, UC Santa Cruz Banana Slugs (College),0
Eduardo Sebrango,1,1984-1991, Sancti Spíritus (Not a college),24
Chris Duvall,2,2010-2013, Wake Forest Demon Deacons (College),0
Chris Lancos,1,2002-2005, Maryland (College),2
James Marcelin,2
Jorge Villafana,9,2007, Chivas USA (Not a college),17
Predrag Radosavljevic,10,, Čukarički Stankom (Not a college),28
Mike Caso,1,2003-2006, San Diego Toreros (Not a college),0
Diego Serna,7,, Cortuluá (Not a college),0
Hernan Grana,1
Ramon Sanchez,2,1994-1998, San Juan Opico Escuela de Futbol (No Wikipedia link),74
John O'Brien,1
Aitor Karanka,1,1991-1992, Athletic Bilbao (Not a college),25
Mikael Silvestre,1
Roberto Gaucho,1
Frederick Braun,2
Shane Battelle,1,1991-1993, St. Louis University (College),0
Jeff Zaun,4,1989-1993, Rutgers University (College),0
Brendan Ruiz,1
Didier Domi,1,1994-1996, Paris Saint-Germain (Not a college),0
Ade Akinbiyi,1,1991-1993, Norwich City (Not a college),1
Santiago Hirsig,2
Ian Hogg,1
Kevin Novak,2,2000-03, Loyola Marymount (College),0
Maurizio Rocha,2,1995-1998, Connecticut Huskies (College),0
Calum Mallace,4,2008-2011, Marquette Golden Eagles (College),0
Khari Stephenson,8,2000-2003, Williams Ephs (College),32
Javier Calle,1,-2009, San Fernando de Guayabal la Raya (No Wikipedia link),5
Wolde Harris,8,1994-1995, Clemson University (College),28
Jose Rivera,1
Joao Luiz,1
Adrian Cann,4,2000-2003, Louisville Cardinals (College),12
Chris Jahr,1
Anthony Ampaipitakwong,2,2007-2010, Akron Zips (College),6
Demar Phillips,1,, York United,62
Alan Prampin,4,1990-1993, Southern Methodist University (College),2
Ryan Solle,1,2003-2006, Wake Forest Demon Deacons (College),0
Richard Weiszmann,1,1991-1994, UC Berkeley (College),0
German Mera,1,, Deportivo Cali (Not a college),0
Don Gramenz,1,1990-1993, University of Wisconsin–Milwaukee (College),0
Guolaugur Palsson,1
Raul Mendiola,2,2011-2014, LA Galaxy (Not a college),0
Tyler Newnam,1
Michael Nsien,1
Tyler Lassiter,1,2007-2010, North Carolina State Wolfpack (College),0
Ryan Clark,1
Michael Augustine,1
Gabriel Cichero,1,2001-2002, Montevideo Wanderers (Not a college),61
Andre Hainault,4,, Hudson Hawks,79
Ian Hennessey,1
Ante Jazic,8,1996, Dalhousie Tigers (College),36
Lucas Pittinari,1,2007-2009, Belgrano (Not a college),0
Mark Santel,6,1987-1990, Saint Louis Billikens (College),8
Brian Kelly,5
Frank Klopas,4
Christopher Leitch,10
Lothar Matthaus,1,1971-1979, FC Herzogenaurach (Not a college),169
Nelson Vargas,5,, Standard Liege (Not a college),0
Esmundo Rodriguez,4,1995-1996, New Mexico Lobos (College),3
David Johnson,1
Omar Salgado,4,2008-2010, Guadalajara (Not a college),3
Dominique Badji,1,2011-2014, Boston University Terriers (College),0
Eric Avila,8,2005-2007, UC Santa Barbara Gauchos (College),30
Peri Marosevic,3,2006-2008, Michigan Wolverines (College),14
Connor Hallisey,1,2011-2014, California Golden Bears (College),0
Brian Rogers,1
Guy Melamed,1,, Maccabi Haifa (Not a college),12
Tomasz Frankowski,1
Mario Gori,5
Thiago da Rosa Correa,3,, Internacional (Not a college),0
Ryan Maduro,1,2004-2008, Providence Friars (College),0
Todd Miller,2,1992-1995, Westminster College (College),0
DaMarcus Beasley,7,1998-1999, IMG Academy (Not a college),133
Samuel Ekeme,1
Andre Akpan,5,2006-2009, Harvard Crimson (College),5
Scott Sealy,7,2001-2004, Wake Forest Demon Deacons (College),25
Anthony Wallace,8
Wes Hart,6,1998-1999, University of Washington (College),0
Adrian Serioux,5,1998-1999, New Haven Chargers (College),19
Tommy Nelson,1
Andrew Driver,2,, Heart of Midlothian (Not a college),5
Brock Granger,1,2010-2012, Louisville Cardinals (College),0
Bruno Menezes,2,2002, Mogi Mirim (Not a college),0
Donnie Smith,3,2009-2012, Charlotte 49ers (College),0
Etienne Barbara,1,, Qormi (Not a college),30
Andrzej Juskowiak,1
Steve Bernal,2,1996-1999, Creighton Bluejays (College),0
Claudio Lopez,3
Micheal Azira,2,2010-2011, Mobile Rams (College),0
Yordany Alvarez,3
Chris Karcz,1
Ryan Miller,3
Vicente Sanchez,3,1998-1999, Sud América (Not a college),31
Rachid El Khalifi,1
Zizi Roberts,2
Dax McCarty,10,2004-2005, North Carolina Tar Heels (College),16
Marcelo Saragosa,9,0000-2003, 0000 (No Wikipedia link),0
Kalin Bankov,2
Yannick Djalo,1,2001-2005, Sporting CP (Not a college),24
Felix Brillant,2,2002-2003, Franklin Pierce Ravens (College),6
Samuel Appiah,1,2006-2009, Boston University Terriers (College),0
Peter Vermes,7,1985-1987, Rutgers Scarlet Knights (College),66
Lance Rozeboom,1,2008-2011, New Mexico Lobos (College),0
Caleb Porter,1,1994-1997, Indiana Hoosiers (College),0
Jeremy Brockie,1,0000-2002, 0 (No Wikipedia link),73
Lyle Yorks,1,1988-1991, University of Virginia (College),0
John Wilson,5
Giancarlo Maldonado,1
Ben Hunter,1,2005-2006, North Carolina Tar Heels (College),0
Fernando Ortiz-Solis,1
Chad McCarty,6,1995-1997, Washington Huskies (College),1
Russell Teibert,5,2008, TFC Academy (Not a college),33
Chad Ashton,1,1986-1989, University of North Carolina at Chapel Hill (College),0
Thomas Dooley,4,1979-1981, TuS Landstuhl (No Wikipedia link),81
Andrea Pisanu,1,, Cagliari (Not a college),0
Adam Moffat,8
Sergio Salas,1
John Garvey,1
Jeff Larentowicz,11,2001-2004, Brown Bears (College),4
John Hayden,3
Guido Neto,1
John Gilkerson,1,2004-2007, Winthrop Eagles (College),0
Julio Martinez,1
John Valencia,1
Clyde Simms,9,2000-2003, East Carolina Pirates (College),1
Dustin McCarty,1
Hector Jimenez,5
Mario de Luna,1
Joseph Vide,3,2002-05, Virginia (College),0
Christopher Sullivan,1
Mikey Lopez,3,2011-2012, North Carolina Tar Heels (College),17
Travis Mulraine,1
Ruben Hernandez,1
Lance Key,2
Edgar Hernandez,1
Thomas McNamara,2
Benoit Cheyrou,1,1997-1999, Lille (Not a college),22
Nikos Kounenakis,2,-1994, OFI Crete (Not a college),0
Brent Richards,2,2008-2011, Washington Huskies (College),0
Leonard Griffin,6,2000-2003, UCLA Bruins (College),0
Chukwudi Chijindu,3,2004-2007, Connecticut Huskies (College),0
Paul Keegan,5
Cole Grossman,4,2007-2010, Duke Blue Devils (College),0
John DeBrito,6,1987-1990, Southern Connecticut (College),6
Rafael Baca,3,2007-2010, Loyola Marymount Lions (College),0
David Vaudreuil,7,1984-1987, Princeton University (College),0
Robin Fraser,10,1985-1988, FIU Golden Panthers (College),26
Je-Vaughn Watson,5
Brian Taylor,2
Nkosinathi Nhleko,2
Benji Joya,1,2011-2012, Santos Laguna (Not a college),23
Robbie Keane,5,1995-1997, Wolverhampton Wanderers (Not a college),143
Sammy Ochoa,3,2005-2006, Estudiantes Tecos (College),6
Chris Klein,13
Carlos Bocanegra,6,1997-1999, UCLA Bruins (College),121
Josh Janniere,2,2007-2010, TFC Academy (Not a college),0
Greg Janicki,3,2003-2006, Michigan State Spartans (College),0
Adam Frye,7,1992-1995, UCLA Bruins (College),0
Brad Wilson,2
Blake Camp,2,2002-2005, Duke Blue Devils (College),0
Jason Yeisley,1,2005-2009, Penn State Nittany Lions (College),0
Jermaine Taylor,5
Ednaldo da Conceicao,2
Marcelo Balboa,7,1988-1989, San Diego State Aztecs (College),127
Stephen deRoux,3,2002-2004, Prince George's Owls (College),0
Fabián Espíndola,9,, Boca Juniors (Not a college),0
Andrew Williams,14
Dennis Ludwig,1
Andrew Daniels,2
Alex DeJohn,1,2009-2012, Old Dominion Monarchs (College),0
James Rogers,1
Conor Casey,9,1999-2000, Portland Pilots (College),31
Adam Braz,1,1999-2001, Fairfield Stags (College),12
Zach Scott,7,1998-2001, Gonzaga Bulldogs (College),0
Claudio Suarez,4
Blaise Nkufo,2
Nick Theslof,1,1994-1997, UCLA Bruins (College),0
Danny O'Rourke,10
Caleb Clarke,4,2009-2010, Whitecaps FC Residency (Not a college),15
Collins John,1,2002-2004, Twente (Not a college),9
Gary Sullivan,1
Richard Farrer,7,1990-1992, University of New Mexico (College),0
Bernardo Corradi,1,, Siena (Not a college),13
Lenardo Fernandes,3
Phillip Lund,1
Julio Santos,3
Josh Hansen,1,2000-2003, San Francisco Dons (College),10
Luciano Emilio,4,1996-1997, Rio Branco-SP (Not a college),0
Micah Cooks,2
Michael Piserchio,1
Michael Boxall,2,2007-2010, UC Santa Barbara Gauchos (College),41
Sebastien Vorbe,1
Gonzalo Pineda,2
Yann Ekra,1,2001-2007, Lyon (Not a college),0
Marcelo Castro,1
Mira Mupier,1
Kevin Ara,1,2000-2003, Harvard University (College),0
Craig Thompson,1
Jeff Matteo,2
Kory Kindle,1
Alexandre Emerson,1
Cesar Alvarado,1,, Citrus College (Not a college),0
Tyler Rudy,1,2011-2014, Georgetown Hoyas (College),0
Tressor Moreno,1,, Tuluá (Not a college),32
Lawrence Olum,4,2003-2006, Missouri Baptist Spartans (College),4
Michael Palacio,1,2004-2007, Stony Brook Seawolves (College),0
Matt Fundenberger,1
Cristian Arrieta,1
Kenny Cooper,9,2003-2004, Manchester United (Not a college),10
Jordan Hamilton,2
Dan Calichman,5,1986-1990, Williams Ephmen (College),2
Jonathan Top,4,2008-2011, FC Dallas (Not a college),6
Sagi Lev-Ari,1
Matthew Taylor,4
Álvaro Saborío,6,, Coyotes de Saltillo (Not a college),115
Jason Kreis,12,1991-1994, Duke Blue Devils (College),14
Gilles Grimandi,1,1987-1988, Gap (Not a college),0
Tim Sahaydak,3,, Liberty High School,0
Mohammed Sethi,1
Rob Smith,5
Luke Vercollone,2,2000-2003, Seton Hall Pirates (College),0
Matheus Silva,1
Mike Munoz,3
Kevin Knight,1,1995-1998, James Madison Dukes (College),0
Facundo Diz,1
Phanuel Kavita,1,2011-2014, Clemson Tigers (College),0
Alessandro Nesta,2,1985-1993, Lazio (Not a college),87
Eloy Colombano,2
Daigo Kobayashi,3,1998-2000, Shimizu Commercial High School (Not a college),1
Marko Maric,1,2000-2003, NK Zagreb (Not a college),0
Marco Velez,2,1999-2001, Barry Buccaneers (College),14
Jack Stewart,4
Geoff Aunger,5
Marcus Tracy,2,2005-2008, Wake Forest Demon Deacons (College),0
Samuel Inkoom,1,2000-2007, Windy Professionals Football Academy (No Wikipedia link),52
Sherjill MacDonald,2,2000-2001, Ajax (Not a college),2
Patrick Mullins,2,2010-2013, Maryland Terrapins (College),0
Franco Coria,1,2007-2008, Chacarita Juniors (Not a college),0
Adam Ruud,1,2004-2005, Charlotte 49ers (College),0
Dario Brose,3,1988-1991, North Carolina State University (College),4
Jesus Padilla,2,2001-2006, Guadalajara (Not a college),0
Billy Schuler,1,2008-2011, North Carolina Tar Heels (College),11
Walter Martinez,1
Charles Eloundou,3
Sebastian Fernandez,1
Nino Da Silva,4
Josip Mikulic,1,2003-2004, Dinamo Zagreb (Not a college),0
Gabriel Torres,3
Carlos Salcedo,2,2012, Real Salt Lake (Not a college),13
Christopher Carrieri,4
Jaime Castrillon,2
Alberto Munoz,1
Raphael Wicky,1,1990-1993, Sion (Not a college),75
Justin Mapp,14,2000-2001, IMG Soccer Academy (Not a college),16
Scott Lorenz,1,2005-2009, Wisconsin Badgers (College),0
Jaime Estupinan,1
Jason Griffiths,1,2006-2009, Kentucky Wildcats (College),0
Eduardo Espinoza,1
Francis Doe,3
Laurent Robert,1
Darlington Nagbe,5,2008-2010, Akron Zips (College),2
Dan Stebbins,3,1987-1990, Notre Dame Fighting Irish (College),0
Lucas Melano,1,, Belgrano (Not a college),3
Cesar Pizarro,2,2008-2011, UC Riverside Highlanders (College),0
Emiliano Dudar,1,1997-1998, Vélez Sársfield (Not a college),0
Román Torres,1,, Chepo (Not a college),95
Joshua Gros,4,2000-2003, Rutgers Scarlet Knights (College),1
Jorge Claros,1
Jordan Stewart,3
Gerard Lagos,1,1988-1990, UWM (College),5
Oscar Sorto,3,2011-2012, LA Galaxy (Not a college),10
Arne Friedrich,2,1995-1999, FC Gütersloh (Not a college),88
Raimo De Vries,1
Tomasz Wygonik,1
Darin Lewis,1,1999-2000, Connecticut Huskies (College),9
Gabriel Gomez,1
Jake Dancy,3,1996, Fresno State Bulldogs (College),0
Deris Umanzor,1,1994-1998, Municipal Limeño (Not a college),44
Sebastian Lletget,1,2009-2010, West Ham United (Not a college),11
Matt Miazga,3,2009-2013, New York Red Bulls (Not a college),25
Bryan de la Fuente,3,2007-2010, Chivas USA (Not a college),7
Mamadou Danso,4,2007-2008, SPSU Hornets (College),10
Shawn McLaws,1,2011-2014, Coastal Carolina Chanticleers (College),0
Michael Nanchoff,5,2007-2010, Akron Zips (College),0
Ty Maurin,2,2000-2003, UCLA Bruins (College),0
Kenny Cutler,4,2000-2003, Clemson Tigers (College),0
Jose Gomez,1
Richard Sharpe,1
Jefferson Gottardi,1,1991-1994, Tahuichi Academy (No Wikipedia link),0
Rafael Marquez,3,, Atlas (Not a college),133
Alecko Eskandarian,7,2000-2002, Virginia Cavaliers (College),1
Victor Munoz,1,, Zaragoza (Not a college),81
Taylor Peay,2,2010-2013, Washington Huskies (College),0
Babayele Sodade,2
Myung-Bo Hong,2,1987-1990, Korea University (College),137
Mamadou Diouf,1
Scott Palguta,4,2001-2004, Cornell Big Red (College),0
Travis Roy,1
Jimmy Glenn,2,1990-1993, Clemson University (College),0
Easton Wilson,1
Alejandro Farias,1
Max Wasserman,1
Nick Besler,1,2011-2014, Notre Dame Fighting Irish (College),0
Robert Earnshaw,3,1997-1998, Cardiff City (Not a college),69
Bradley Orr,1,2000-2002, Everton (Not a college),0
Eddie Ababio,2,2006-2010, North Carolina Tar Heels (College),13
Patrick Ianni,9,2003-2005, UCLA Bruins (College),26
Brandon Manzonelli,1,2006-2008, Villarreal (Not a college),4
Dema Kovalenko,12,1996-1998, Indiana Hoosiers (College),0
Mauro Rosales,5
Josh Wolff,14,1995-1997, South Carolina Gamecocks (College),62
Shaun Maloney,1,1996-1999, Albion Boys Club (No Wikipedia link),66
Heath Pearce,6,2002-2004, Portland Pilots (College),43
Timothy Cahill,3
Thiago Martins,3,1999-2000, UC Santa Barbara Gauchos (College),0
Bryan Róchez,1
Steven Caldwell,3,000?-1997, 000 (No Wikipedia link),12
Adam Clement,1
Cristian Nunez,1
Craig Yacks,1,1994-1997, Yale Bulldogs (College),0
Steven Smith,1
Tim Merritt,1,2001-2004, North Carolina Tar Heels (College),0
Jhonny Arteaga,1,2004-2007, Dominican College Chargers (College),0
Greg Simmonds,1,1995-1998, Howard University (College),0
Olivier Tebily,1
Cameron Knowles,2,2001-2004, Akron Zips (College),1
Matt Watson,4
Alberto Celades,1
Luis Escalada,1
Kurt Morsink,6,2003-2006, James Madison Dukes (College),0
Greg Curry,1
Kris Boyd,1,1999-2001, Kilmarnock (Not a college),29
Ishmael Yartey,1,2007-2009, → Benfica (loan) (Not a college),7
Dante Washington,9,1989-1993, Radford (College),6
Jim Rooney,5
Sam Forko,1
Kendall Waston,2,, Saprissa,4
Miroslaw Rzepa,1
Shavar Thomas,10,2001-2002, Connecticut Huskies (College),67
John Bostock,1,1999-2007, Crystal Palace (Not a college),40
Victor Cabrera,1
Luis Hernandez,2
Victor Pineda,5
Ryan Edwards,1
Andrew Wenger,4,2009-2011, Duke Blue Devils (College),2
Greg Lalas,2,1991-1994, Brown Bears (College),0
Obi Monome,1
Mark Chung,10,1988-1992, South Florida Bulls (College),24
Santino Quaranta,11,2000-2001, IMG Soccer Academy (Not a college),22
Peter Vagenas,13,1996-1999, UCLA Bruins (College),9
Aaron Pitchkolan,5,2002-2004, West Virginia Mountaineers (College),0
Ryan McMahen,3,2001-2005, Michigan State Spartans (College),0
Keith Makubuya,2,2009-2010, Toronto FC (Not a college),0
Tal Ben Haim,1,1998-2001, Maccabi Tel Aviv (Not a college),97
O'Neil Peart,1
Shay Facey,1,2007-2015, Manchester City (Not a college),19
Ricardo Phillips,1,, Atletico San Joaquin,83
Stefano Pinho,1,, Fluminense (Not a college),0
Rafael Teixeira,1
Michael Nugent,2
Ellis McLoughlin,2,2007, Washington Huskies (College),38
Danny Garcia,2
Pat Haggerty,1
Nathan Sturgis,10,2004-2005, Clemson Tigers (College),38
Nelson Pizarro,2,2004-2007, Lincoln Memorial Railsplitters (College),0
Gershon Koffie,5,2000-2006, Rot-Weiss Accra (No Wikipedia link),2
Korede Aiyegbusi,3,2008-2009, NC State Wolfpack (College),0
Brian Maisonneuve,8,1990-1994, Indiana Hoosiers (College),13
Keith Beach,1,1995-1998, Maryland Terrapins (College),0
Erik Friberg,2
Jeremy Hall,7
Ciaran O'Brien,3,2007, UC Santa Barbara Gauchos (College),0
Helbert Carreiro,7
Leonardo Squadrone,1
Donny Toia,3,2009-2011, Real Salt Lake (Not a college),4
Colin Clark,8
Waldir Saenz,1,1991, Alianza Lima (Not a college),27
Tommy Krizanovic,1,2003-2006, Jacksonville Dolphins (College),0
