Player,mlsYears,youthYears,youthTeam,ntlCaps
Rafael Robayo,1,2000-2002, Escuela de Fútbol Vida (No Wikipedia link),1
Chris Megaloudis,1,2004-2005, Stony Brook University (College),19
Dan Stratford,1,2004-2007, West Virginia University (College),0
Alain Sutter,2
Jorge Flores,3
RJ Allen,1
Miguel Lopez,1
Fabrice Noel,2
Mike Sambursky,1
Alvaro Rey,2,, AD Nervión,0
Brian Nielsen,2
Oscar Velazquez,1
Victor Estupinan,1,2004-2006, LDU Quito (Not a college),2
Tommy Redding,1,2013-2014, Chicago Magic PSG (No Wikipedia link),17
Joe Munoz,1,1994-1997, Cal State Bakersfield Roadrunners (College),0
Kevin Adams,1
Oscar Murillo,1,2005-2006, Boca Juniors (Not a college),0
Chad Marshall,12,2002-2003, Stanford Cardinal (Not a college),57
Scott Benedetti,2,1985-1989, Portland Pilots (College),1
Ryan Richter,3,2007-2010, La Salle Explorers (College),0
Jimmy Nealis,1,2009-2012, Georgetown Hoyas (College),0
Aaron Horton,3,2010, Louisville Cardinals (College),1
Khodadad Azizi,1,1983-1988, Aboomoslem (Not a college),47
Eric Miller,2
Hugh MacDonald,1
Roger Thomas,1
Marius Obekop,3,, Arsenal de Yaounde,32
Nicholas Addlery,1,1999-2002, California Vulcans (College),12
Darrius Barnes,7,2005-2008, Duke Blue Devils (College),0
Ivan Becerra,1,2004-2005, UC Santa Barbara Gauchos (College),0
Ali Ngon,1,1994-1997, Bourassa (No Wikipedia link),37
John Jones,3
Conor Donovan,1
Luke Boden,1,2000-2007, Sheffield Wednesday (Not a college),0
Franco Niell,1,2001-2004, Argentinos Juniors (Not a college),0
Víctor Bernárdez,4
Andrew Wiedeman,5,2007-2009, California Golden Bears (College),4
Stephen Armstrong,4,1996-1999, Butler Bulldogs (College),0
Mario Rodriguez,1
Willy Guadarrama,1
Sebastian Hines,1,, Middlesbrough (Not a college),17
Mark Bloom,3,2006-2009, Berry Vikings (College),0
Matt Stinson,3,2011[2]-, [2] (No Wikipedia link),9
Michael Ghebru,1,1999-2004, Eintracht Frankfurt (Not a college),2
Francisco Marcelo Vega,1
Robbie Findley,7,2003-2006, Oregon State Beavers (College),16
Chris Houser,3,1994-1997, Southern Connecticut Owls (College),0
Quavas Kirk,4,2003-2005, IMG Soccer Academy (Not a college),53
Kwadwo Poku,1,-2000, Asante Kotoko (Not a college),9
Greg Jordan,2,2008-2011, Creighton Bluejays (College),0
Jason Bent,3,1996, Maryland Terrapins (College),55
David de la Torre,1
George Buete,2
Joe Franco,1
Curt Onalfo,4,1987-1990, Virginia Cavaliers (College),1
JJ Koval,2,2010-2013, Stanford Cardinal (College),0
Maynor Figueroa,1,1993-1999, Victoria (Not a college),128
Michael Chabala,8
Carlos Valderrama,7
Gabe Latigue,1,2009-2012, Elon Phoenix (College),0
Kai Herdling,1,2000-2002, SpVgg Neckarsteinach (No Wikipedia link),0
Scott Bolkan,1
Ross Schunk,2,2005-2008, Redlands Bulldogs (College),0
Thomas McManus,1
Andrew Jean-Baptiste,4,2010-2011, Connecticut Huskies (College),3
Ross Friedman,1
Christian Sivebaek,1,2004-2008, FC Midtjylland (Not a college),8
Andrés Romero,3
Brian Haynes,5
Guillermo Gonzalez,4
Martin Ponce,1,, Guadalajara (Not a college),2
Andy Dorman,7,2000-2003, Boston University Terriers (College),3
Marco Franco,1,2010-2013, UC Irvine Anteaters (College),0
Kwame Watson-Siriboe,6,2006-2009, Connecticut Huskies (College),0
Jeffrey Moore,2
Ben Swanson,1
Agustin Pelletieri,1
Chris Rolfe,9,2001-2004, Dayton Flyers (College),10
Hérculez Gómez,7,2001-2002, Cruz Azul (Not a college),24
